route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"103",1522_PO,1522_8230,"Lesisko",,0,PO_103-01_12,901087,0,0
"103",1523_PO,1523_7961,"Lesisko",,0,PO_103-01_12,902690,0,0
"103",1522_PO,1522_8234,"Aleja Przyjaźni",,1,PO_103-01_13,901085,0,0
"103",1523_PO,1523_7967,"Aleja Przyjaźni",,1,PO_103-01_13,902691,0,0
"103",1522_PO,1522_8238,"Lesisko",,0,PO_103-01_14,901087,0,0
"103",1523_PO,1523_7970,"Lesisko",,0,PO_103-01_14,902690,0,0
"103",1522_PO,1522_8243,"Aleja Przyjaźni",,1,PO_103-01_15,901085,0,0
"103",1523_PO,1523_7972,"Aleja Przyjaźni",,1,PO_103-01_15,902691,0,0
"103",1522_PO,1522_8247,"Lesisko",,0,PO_103-01_16,901087,0,0
"103",1523_PO,1523_7977,"Lesisko",,0,PO_103-01_16,902690,0,0
"103",1522_PO,1522_8250,"Aleja Przyjaźni",,1,PO_103-01_17,901085,0,0
"103",1523_PO,1523_7981,"Aleja Przyjaźni",,1,PO_103-01_17,902691,0,0
"103",1522_PO,1522_8254,"Lesisko",,0,PO_103-01_18,901087,0,0
"103",1523_PO,1523_7984,"Lesisko",,0,PO_103-01_18,902690,0,0
"103",1522_PO,1522_8258,"Aleja Przyjaźni",,1,PO_103-01_19,901085,0,0
"103",1523_PO,1523_7988,"Aleja Przyjaźni",,1,PO_103-01_19,902691,0,0
"103",1522_PO,1522_8262,"Lesisko",,0,PO_103-01_20,901087,0,0
"103",1523_PO,1523_7995,"Lesisko",,0,PO_103-01_20,902690,0,0
"103",1522_PO,1522_8266,"Aleja Przyjaźni",,1,PO_103-01_21,901085,0,0
"103",1523_PO,1523_8002,"Aleja Przyjaźni",,1,PO_103-01_21,902691,0,0
"103",1522_PO,1522_8270,"Lesisko",,0,PO_103-01_22,901087,0,0
"103",1523_PO,1523_8003,"Lesisko",,0,PO_103-01_22,902690,0,0
"103",1522_PO,1522_8274,"Aleja Przyjaźni",,1,PO_103-01_23,901085,0,0
"103",1523_PO,1523_8008,"Aleja Przyjaźni",,1,PO_103-01_23,902691,0,0
"103",1522_PO,1522_8278,"Lesisko",,0,PO_103-01_24,901087,0,0
"103",1523_PO,1523_8012,"Lesisko",,0,PO_103-01_24,902690,0,0
"103",1522_PO,1522_8282,"Aleja Przyjaźni",,1,PO_103-01_25,901085,0,0
"103",1523_PO,1523_8017,"Aleja Przyjaźni",,1,PO_103-01_25,902691,0,0
"103",1522_PO,1522_8286,"Lesisko",,0,PO_103-01_26,901087,0,0
"103",1523_PO,1523_8020,"Lesisko",,0,PO_103-01_26,902690,0,0
"103",1522_PO,1522_8290,"Aleja Przyjaźni",,1,PO_103-01_27,901085,0,0
"103",1523_PO,1523_8025,"Aleja Przyjaźni",,1,PO_103-01_27,902691,0,0
"103",1522_PO,1522_8294,"Lesisko",,0,PO_103-01_28,901087,0,0
"103",1523_PO,1523_8027,"Lesisko",,0,PO_103-01_28,902690,0,0
"103",1522_PO,1522_8298,"Aleja Przyjaźni",,1,PO_103-01_29,901085,0,0
"103",1523_PO,1523_8032,"Aleja Przyjaźni",,1,PO_103-01_29,902691,0,0
"103",1522_PO,1522_8302,"Lesisko",,0,PO_103-01_30,901087,0,0
