OBJECTID,Numer,Pętla_początkowa,Pętla_końcowa,Typ linii,Podtyp linii,relacja,Shape__Length,validFrom,validUntil
295,253,Czerwone Maki P+R,Wola Radziszowska Pętla,autobusowa,,1,22905.2230548816,,
296,253,Wola Radziszowska Pętla,Czerwone Maki P+R,autobusowa,,2,23155.3288625427,,
297,263,Czerwone Maki P+R,Radziszów PKP,autobusowa,,1,15313.284372571,,
298,263,Radziszów PKP,Czerwone Maki P+R,autobusowa,,2,15521.9565398893,,
299,283,Czerwone Maki P+R,Skawina,autobusowa,,1,7777.53081007861,,
300,283,Skawina,Czerwone Maki P+R,autobusowa,,2,8057.73044375914,,
301,224,Centrum JP II,Wieliczka Miasto,autobusowa,,1,15118.3765312185,,
302,224,Wieliczka Miasto,Centrum JP II,autobusowa,,2,15890.2751003174,,
303,225,Borek Fałęcki,Świątniki Górne Urząd Miasta i Gminy,autobusowa,,1,16554.5892882457,,
304,225,Świątniki Górne Urząd Miasta i Gminy,Borek Fałęcki,autobusowa,,2,16555.0309405239,,
305,235,Borek Fałęcki,Ochodza Odwiśle,autobusowa,,1,19792.2492912406,,
306,235,Ochodza Odwiśle,Borek Fałęcki,autobusowa,,2,19990.7402145963,,
307,235,Borek Fałęcki,Ochodza Dwór,autobusowa,,11,18024.7139951052,,
308,235,Ochodza Dwór,Borek Fałęcki,autobusowa,,21,18184.2874497792,,
309,235,Borek Fałęcki,Skawina Podbory,autobusowa,,12,14137.559058079,,
310,235,Skawina Podbory,Borek Fałęcki,autobusowa,,22,14178.6127493504,,
311,243,Borek Fałęcki,Skawina,autobusowa,,1,10125.3059280399,,
312,243,Skawina,Borek Fałęcki,autobusowa,,2,10323.8160856605,,
313,245,Borek Fałęcki,Skawina,autobusowa,,1,18233.5946820192,,
314,245,Skawina,Borek Fałęcki,autobusowa,,2,18630.3715598085,,
315,245,Borek Fałęcki,Buków Pętla,autobusowa,,11,16004.8852043337,,
316,245,Buków Pętla,Borek Fałęcki,autobusowa,,21,16279.1118453797,,
317,254,Borek Fałęcki,Grabówki Pętla,autobusowa,,1,11868.0288118547,,
318,254,Grabówki Pętla,Borek Fałęcki,autobusowa,,2,12355.1709091188,,
319,254,Borek Fałęcki,Golkowice Pętla,autobusowa,,11,9471.30206969624,,
320,254,Golkowice Pętla,Borek Fałęcki,autobusowa,,21,9846.18301610563,,
321,255,Borek Fałęcki,Gaj Zadziele,autobusowa,,1,10272.4210975309,,7/4/2025 9:59:00 PM
322,265,Borek Fałęcki,Konary Pętla,autobusowa,,1,9978.71768379783,,
323,265,Konary Pętla,Borek Fałęcki,autobusowa,,2,10995.1084623733,,
324,275,Borek Fałęcki,Włosań Centrum,autobusowa,,1,14834.1440793959,,
325,275,Borek Fałęcki,"Włosań Centrum przez: Buków, Chorowice
",autobusowa,,11,26594.4135727637,,
326,285,Borek Fałęcki,Ochojno Remiza,autobusowa,,1,20656.1098872493,,
327,285,Ochojno Remiza,Borek Fałęcki,autobusowa,,2,25337.1553235133,,
328,293,Borek Fałęcki,Kopanka Pętla,autobusowa,,1,20185.209948413,,
329,293,Kopanka Pętla,Borek Fałęcki,autobusowa,,2,20007.1100439994,,
330,293,Borek Fałęcki,Kopanka Pętla bez SSE,autobusowa,,11,18228.8576619818,,
331,293,Kopanka Pętla,Borek Fałęcki bez SSE,autobusowa,,21,18064.3069186698,,
332,293,Borek Fałęcki,Skawina,autobusowa,,12,10229.4178297229,,
333,293,Skawina,Borek Fałęcki,autobusowa,,22,10460.2964520632,,
334,295,Skawina SCK,Grabie Pętla,autobusowa,,1,15063.9409567119,,
335,295,Grabie Pętla,Skawina SCK,autobusowa,,2,14653.5520400876,,
336,273,Skawina SCK,Polanka Hallera Centrum,autobusowa,,1,11241.2423533492,,
337,273,Polanka Hallera Centrum,Skawina SCK,autobusowa,,2,11271.1787824279,,
338,203,Czerwone Maki P+R,Skawina z pominięciem Toru Kajakowego,autobusowa,,11,17327.9895918848,,
339,203,Skawina,Czerwone Maki P+R z pominięciem Toru Kajakowego,autobusowa,,21,17535.7505794782,,
340,234,Nowy Bieżanów Południe,Węgrzce Wielkie Pętla,autobusowa,,1,8906.1782099578,,
341,234,Węgrzce Wielkie Pętla,Nowy Bieżanów Południe,autobusowa,,2,8829.51730166559,,
342,244,Nowy Bieżanów Południe,Wieliczka Miasto,autobusowa,,1,11101.3330334337,,
343,244,Wieliczka Miasto,Nowy Bieżanów Południe,autobusowa,,2,10972.231046424,,
344,284,Nowy Bieżanów Południe,Wieliczka Centrum,autobusowa,,1,8518.24590585265,,
345,284,Wieliczka Centrum,Nowy Bieżanów Południe,autobusowa,,2,8246.1872679703,,
346,274,Podgórze SKA,Trąbki P+R,autobusowa,,1,17686.8375853221,,
347,274,Trąbki P+R,Podgórze SKA,autobusowa,,2,17712.3835267393,,
348,242,Kombinat,Krzysztoforzyce Pętla,autobusowa,,1,11470.6146901675,,
349,242,Krzysztoforzyce Pętla,Kombinat,autobusowa,,2,11615.9234450158,,
350,271,Pleszów,Czulice Kościół,autobusowa,,1,12162.5187280985,,
351,271,Czulice Kościół,Pleszów,autobusowa,,2,12183.3671839621,,
352,271,Pleszów,Czulice Kościół bez: Wróżenice,autobusowa,,11,10367.2171119952,,
353,271,Czulice Kościół,Pleszów bez: Wróżenice,autobusowa,,21,10377.3158775701,,
354,250,Prądnik Czerwony,Zastów Pętla,autobusowa,,1,9340.295038131,,
355,250,Zastów Pętla,Prądnik Czerwony,autobusowa,,2,9310.27771871074,,
356,260,Prądnik Czerwony,Pielgrzymowice Pętla,autobusowa,,1,26512.7971696192,,
357,260,Pielgrzymowice Pętla,Prądnik Czerwony,autobusowa,,2,20991.6445190191,,
358,270,Prądnik Czerwony,Pielgrzymowice Pętla,autobusowa,,1,17722.7598239328,,
359,270,Pielgrzymowice Pętla,Prądnik Czerwony,autobusowa,,2,13548.6446774417,,
360,270,Prądnik Czerwony,Zastów Pętla,autobusowa,,11,9593.74548835312,,
361,270,Zastów Pętla,Prądnik Czerwony,autobusowa,,21,9503.46273813712,,
362,227,Krowodrza Górka P+R,Górna Wieś Pętla,autobusowa,,1,10793.2911582834,,
363,227,Górna Wieś Pętla,Krowodrza Górka P+R,autobusowa,,2,10425.730076261,,
364,240,Krowodrza Górka P+R,Pękowice Ojcowska,autobusowa,,1,6457.77316620715,,
365,240,Pękowice Ojcowska,Krowodrza Górka P+R,autobusowa,,2,6520.25984737758,,
366,247,Górka Narodowa P+R,Zielonki Marszowiec Pętla,autobusowa,,1,7911.64602835903,,
367,247,Zielonki Marszowiec Pętla,Górka Narodowa P+R,autobusowa,,2,7989.53057311509,,
368,247,Górka Narodowa P+R,Zielonki Marszowiec Pętla bez: Węgrzce Pętla,autobusowa,,11,4859.04791536692,,
369,247,Zielonki Marszowiec Pętla,Górka Narodowa P+R bez: Węgrzce Pętla,autobusowa,,21,4916.59565662842,,
370,267,Krowodrza Górka P+R,Skała Rynek,autobusowa,,1,23140.4345518207,,
371,267,Skała Rynek,Krowodrza Górka P+R,autobusowa,,2,22704.8773809947,,
372,290,Krowodrza Górka P+R,Pękowice Ojcowska,autobusowa,,1,7274.67669155472,,
373,290,Pękowice Ojcowska,Krowodrza Górka P+R,autobusowa,,2,7337.68072945707,,
374,297,Boleń Pętla,Górka Narodowa P+R,autobusowa,,2,12416.7815186258,,
375,297,Górka Narodowa P+R,Boleń Pętla,autobusowa,,1,12506.2138772829,,
376,297,Dziekanowice Batowice SKA,Boleń Pętla,autobusowa,,12,3120.57591419026,,
377,257,Górka Narodowa P+R,Narama Remiza,autobusowa,,1,12842.3903006799,,
378,257,Narama Remiza,Górka Narodowa P+R,autobusowa,,2,12843.3847687215,,
379,277,Górka Narodowa P+R,Iwanowice Dworskie Pętla,autobusowa,,1,18802.9844535705,,
380,277,Iwanowice Dworskie Pętla,Górka Narodowa P+R,autobusowa,,2,19004.7059006747,,
381,280,Górka Narodowa P+R,Owczary Pętla,autobusowa,,1,15775.3140834602,,
382,280,Owczary Pętla,Górka Narodowa P+R,autobusowa,,2,15812.8485953917,,
383,264,Mały Płaszów P+R,Grabie Kościół,autobusowa,,1,12025.1476810962,,
384,264,Grabie Kościół,Mały Płaszów P+R,autobusowa,,2,11729.0047060825,,
385,228,Bronowice Małe,Chrosna Pętla,autobusowa,,1,13635.0118035087,,
386,228,Chrosna Pętla,Bronowice Małe,autobusowa,,2,14332.0149969563,,
387,228,Bronowice Małe,Morawica Centrum,autobusowa,,11,12378.0309214158,,
388,228,Morawica Centrum,Bronowice Małe,autobusowa,,21,12954.8655256251,,
389,230,Bronowice Małe,Ujazd Pętla,autobusowa,,1,12569.6078031566,,
390,230,Ujazd Pętla,Bronowice Małe,autobusowa,,2,13037.9725082864,,
391,238,Bronowice Małe,Młynka Pętla,autobusowa,,1,20829.4730365802,,
392,238,Młynka Pętla,Bronowice Małe,autobusowa,,2,21437.4954860207,,
393,238,Bronowice Małe,Młynka Pętla przez ZEP,autobusowa,,11,21501.9208900759,,
394,238,Młynka Pętla,Bronowice Małe przez ZEP,autobusowa,,21,22081.5922685301,,
395,248,Bronowice Małe,Zelków Pętla,autobusowa,,1,17367.1713809748,,
396,248,Zelków Pętla,Bronowice Małe,autobusowa,,2,18048.5139169879,,
397,258,Bronowice Małe,Nielepice Pętla,autobusowa,,1,24476.0899151841,,
398,258,Nielepice Pętla,Bronowice Małe,autobusowa,,2,25079.5798647538,,
399,258,Bronowice Małe,"Nielepice Pętla przez ZEP
",autobusowa,,11,25148.5422518734,,
400,258,Nielepice Pętla,Bronowice Małe przez ZEP,autobusowa,,21,25723.4216479578,,
401,268,Karniowice Pętla,Bronowice Małe,autobusowa,,2,16797.7483221651,,
402,268,Bronowice Małe,Karniowice Pętla,autobusowa,,1,16120.2992947838,,
403,278,Bronowice Małe,TRASA ZMIENIONA Młynka Pętla,autobusowa,,1,32239.4998441004,,2/24/2025 12:00:00 AM
404,278,TRASA ZMIENIONA Młynka Pętla,Bronowice Małe,autobusowa,,2,31963.1686403163,,2/24/2025 12:00:00 AM
405,278,Bronowice Małe,Radwanowice Pętla,autobusowa,,21,25229.2855673028,,2/24/2025 12:00:00 AM
406,229,Salwator,Kamień Szkoła,autobusowa,,1,31563.3084806777,,
407,229,Kamień Szkoła,Salwator,autobusowa,,2,32339.8294692423,,
408,229,Salwator,"Kamień Szkoła bez: Rusocice Załęg, Rusocice Wieś",autobusowa,,11,29947.9904352915,,
409,229,Kamień Szkoła,Rondo Grunwaldzkie,autobusowa,,21,33242.0444187967,,
410,239,Salwator,Wołowice Kapliczka,autobusowa,,1,22707.4859952431,,4/5/2025 12:00:00 AM
411,239,Wołowice Kapliczka,Salwator,autobusowa,,2,22842.5405668147,,4/5/2025 12:00:00 AM
412,239,Wołowice Kapliczka,Salwator przez: Rączna Podlas,autobusowa,,21,24499.8072097392,,4/5/2025 12:00:00 AM
413,239,Jeziorzany Pętla,Salwator przez: Rączna Podlas,autobusowa,,23,20077.0381289785,,4/5/2025 12:00:00 AM
414,239,Salwator,Jeziorzany Pętla przez: Rączna Podlas,autobusowa,,13,19982.6988846,,4/5/2025 12:00:00 AM
415,239,Salwator,Wołowice Kapliczka przez: Rączna Podlas,autobusowa,,11,24329.0055968459,,4/5/2025 12:00:00 AM
416,239,Salwator,Jeziorzany Pętla,autobusowa,,12,18361.1792636644,,4/5/2025 12:00:00 AM
417,239,Jeziorzany Pętla,Salwator,autobusowa,,22,18419.7721887087,,4/5/2025 12:00:00 AM
418,239,Salwator,Dąbrowa Szlachecka Krzemiennik,autobusowa,,14,24648.146528242,,4/5/2025 12:00:00 AM
419,239,Dąbrowa Szlachecka Krzemiennik,Salwator,autobusowa,,24,24685.4152370144,,4/5/2025 12:00:00 AM
420,249,Salwator,Czernichów Rynek,autobusowa,,1,27180.3977480258,,
421,249,Czernichów Rynek,Salwator,autobusowa,,2,27189.2679175387,,
